按	a
吧	b
宝	bc
笨	bf
甭	bg
逼	bi
背	bw
此	c
猜	cd
打	d
搭	da
道	dc
冻	ds
逗	dz
嗯	e
发	f
份	ff
疯	fg
复	fu
管	g
搞	gc
钙	gd
哥	ge
官	gr
故	gu
化	h
壶	hu
华	hx
扯	ie
程	ig
臭	iz
见	j
今	jb
极	ji
贱	jm
居	ju
佳	jx
块	k
抠	kz
立	l
溜	lq
嘛	m
骂	ma
梅	mw
哪	n
浓	ns
期	q
弃	qi
缺	qt
入	r
惹	re
忍	rf
扔	rg
随	s
寺	si
它	t
淘	tc
疼	tg
替	ti
舔	tm
通	ts
退	tv
十	u
省	ug
室	ui
守	uz
之	v
招	vc
症	vg
战	vj
终	vs
位	w
文	wf
忘	wh
玩	wj
性	x
心	xb
型	xk
凶	xs
隐	yb
野	ye
杨	yh
严	yj
园	yr
友	yz
子	z
遭	zc
揍	zz
行驶	xkui
佛庙	fomn
码流	malq
卡口	kakz
阿班	aabj
阿苯	aabf
阿伯	aabo
阿布	aabu
阿城	aaig
阿道	aadc
阿爹	aadp
阿端	aadr
阿飞	aafw
阿公	aags
阿訇	aahs
阿姐	aajp
阿桔	aaju
阿咖	aaka
阿乐	aale
阿里	aali
阿联	aalm
阿鲁	aalu
阿伦	aaly
阿盟	aamg
阿穆	aamu
阿囡	aanj
阿片	aapm
阿沁	aaqb
阿荣	aars
阿嫂	aasc
阿婶	aauf
阿嚏	aati
阿托	aato
锕系	aaxi
爱邦	aibh
艾本	aibf
艾草	aicc
矮凳	aidg
艾迪	aidi
哀吊	aidn
挨冻	aids
挨斗	aidz
艾恩	aien
爱芬	aiff
艾丰	aifg
艾恒	aihg
哀鸿	aihs
爱辉	aihv
挨家	aijx
挨肩	aijm
哀叫	aijn
挨靠	aikc
哀恳	aikf
艾拉	aila
埃兰	ailj
艾朗	ailh
艾雷	ailw
埃林	ailb
癌瘤	ailq
艾略	ailt
艾罗	ailo
癌魔	aimo
碍难	ainj
爱女	ainv
挨批	aipi
爱犬	aiqr
蔼然	airj
暧舒	aiuu
艾太	aitd
艾条	aitn
艾瓦	aiwa
爱维	aiww
艾旭	aixu
癌肿	aivs
暗坝	anba
胺泵	anbg
鞍鼻	anbi
案秤	anig
暗锤	aniv
安达	anda
暗洞	ands
安多	andz
鞍钢	angh
安国	ango
暗魂	anhy
安咳	anke
安坤	anky
安来	anld
安澜	anlj
暗雷	anlw
安龙	anls
按脉	anmd
安曼	anmj
暗矛	anmc
暗昧	anmw
安谧	anmi
安脑	annc
安努	annu
暗盘	anpj
岸炮	anpc
暗皮	anpi
安平	anpk
安丘	anqq
暗弱	anro
安塞	ansd
暗色	anse
安顺	anuy
安嗽	ansz
庵堂	anth
安替	anti
安恬	antm
安图	antu
安卧	anwo
暗雾	anwu
安歇	anxp
按序	anxu
安阳	anyh
暗云	anyy
安匝	anza
安扎	anva
安枕	anvf
暗转	anvr
昂昂	ahah
昂藏	ahch
昂奋	ahff
昂仁	ahrf
凹版	aobj
奥贝	aobw
奥本	aobf
奥比	aobi
鏖兵	aobk
奥茨	aoci
奥杜	aodu
奥芬	aoff
奥孚	aofu
奥根	aogf
澳广	aogl
敖汉	aohj
奥赫	aohe
懊恨	aohf
奥佳	aojx
熬煎	aojm
傲角	aojn
凹镜	aojk
奥克	aoke
奥兰	aolj
澳朗	aolh
奥雷	aolw
奥伦	aoly
奥玛	aoma
奥美	aomw
奥姆	aomu
澳能	aong
奥妮	aoni
澳诺	aono
奥平	aopk
傲然	aorj
奥森	aosf
奥莎	aoua
傲霜	aoul
奥斯	aosi
奥松	aoss
奥索	aoso
奥特	aote
凹体	aoti
鳌头	aotz
傲物	aowu
靶标	babn
巴伯	babo
吧嗒	bada
巴德	bade
巴登	badg
靶点	badm
巴东	bads
把儿	baer
把酒	bajq
扒开	bakk
巴坎	bakj
巴莱	bald
把揽	balj
霸灵	balk
巴隆	bals
笆篓	balz
坝美	bamw
巴南	banj
吧女	banv
靶瀑	bapu
菝葜	baqx
灞桥	baqn
巴青	baqk
拔取	baqu
拔群	baqy
巴森	basf
巴沙	baua
拔丝	basi
八宿	basu
巴塘	bath
巴特	bate
巴替	bati
把头	batz
八位	baww
八邪	baxp
把兄	baxs
鲅鱼	bayu
把斋	bavd
八珍	bavf
八正	bavg
巴中	bavs
拔擢	bavo
百艾	bdai
百奥	bdao
拜尔	bder
白刚	bdgh
白垢	bdgz
白喉	bdhz
白蔻	bdkz
白蜡	bdla
白濑	bdld
白兰	bdlj
白朗	bdlh
摆列	bdlp
白茅	bdmc
拜盟	bdmg
柏木	bdmu
百衲	bdna
百宁	bdnk
白奴	bdnu
白胖	bdph
百辟	bdpi
拜票	bdpn
白前	bdqm
白区	bdqu
拜泉	bdqr
白饶	bdrc
白热	bdre
百礽	bdrg
百蕊	bdrv
白润	bdry
拜扫	bdsc
白芍	bduc
白霜	bdul
白塔	bdta
白铁	bdtp
白厅	bdtk
白铜	bdts
白文	bdwf
白下	bdxx
白熊	bdxs
柏油	bdyz
百战	bdvj
白术	bdvu
白撞	bdvl
摆桌	bdvo
板蚌	bjbh
板擦	bjca
板层	bjcg
板床	bjil
板锉	bjco
半大	bjda
伴儿	bjer
班费	bjfw
板鼓	bjgu
板胡	bjhu
板卡	bjka
版刻	bjke
版口	bjkz
半醌	bjky
半拉	bjla
板脸	bjlm
半硫	bjlq
斑蝥	bjmc
瓣膜	bjmo
版纳	bjna
班期	bjqi
板桥	bjqn
半群	bjqy
班赛	bjsd
板苏	bjsu
拌蒜	bjsr
板塘	bjth
板条	bjtn
版头	bjtz
板瓦	bjwa
扮戏	bjxi
半夏	bjxx
版心	bjxb
半休	bjxq
斑疹	bjvf
半种	bjvs
帮备	bhbw
膀臂	bhbi
棒冰	bhbk
帮补	bhbu
棒操	bhcc
帮厨	bhiu
帮凑	bhcz
傍黑	bhhw
磅卡	bhka
邦联	bhlm
邦纳	bhna
帮凝	bhnk
邦诺	bhno
蚌肉	bhrz
榜书	bhuu
傍水	bhuv
帮套	bhtc
邦亭	bhtk
帮同	bhts
绑腿	bhtv
榜尾	bhww
傍午	bhwu
帮闲	bhxm
邦欣	bhxb
傍依	bhyi
梆硬	bhyk
绑扎	bhza
棒针	bhvf
磅重	bhvs
报靶	bcba
胞波	bcbo
包产	bcij
刨床	bcil
报春	bciy
褒词	bcci
薄脆	bccv
报端	bcdr
